project_id,project_name,solution_id,optimization_id,solution_status,created_at,construct_id,spec_id,spec_name,prompt_version,code_optimization_llm,num_specs_in_solution,num_runtime_measurements,metric_name,runtime_measurements,metric_count
074babc9-86c9-48c5-ac96-4d350a36c9ad,rpcs3,2623fd46-d3f4-43ed-888f-648275d93fa0,3eec1de1-2f69-429e-9b95-b362dd41fff6,SolutionStatusEnum.success,Unknown,1deab40c-8adf-4830-9e2c-5fbb49beaeb7,08668e09-5912-4af4-8a0a-0345774df925,claude-v4-sonnet-8fbe6,no_project_context,claude,1,3,runtime,"171.1702602757141,171.34125913493335,170.652392311953",3
074babc9-86c9-48c5-ac96-4d350a36c9ad,rpcs3,d42c7af6-e316-4910-8101-a30230e779b0,3eec1de1-2f69-429e-9b95-b362dd41fff6,SolutionStatusEnum.success,Unknown,808573e6-b738-4f07-b9f9-186d59482758,1dff3181-3efc-428f-8eb0-e75cd8339460,gemini-v25-pro-6e362,no_task_context,gemini,1,3,runtime,"231.29633216187358,230.6091407169588,231.01705399900675",3
074babc9-86c9-48c5-ac96-4d350a36c9ad,rpcs3,d8de781c-27ec-46a7-b4a7-0417caf90b79,3eec1de1-2f69-429e-9b95-b362dd41fff6,SolutionStatusEnum.success,Unknown,Original,Original,N/A,original,original,0,10,runtime,"232.01332825422287,231.88215615181252,232.51895126141608,233.36318496335298,232.78845668537542,232.37973007466644,231.71408767113462,232.295768388547,232.49345259508118,231.70105803292245",10
074babc9-86c9-48c5-ac96-4d350a36c9ad,rpcs3,bdd7b92c-bfb7-48b0-9478-3c922c812770,3eec1de1-2f69-429e-9b95-b362dd41fff6,SolutionStatusEnum.success,Unknown,1deab40c-8adf-4830-9e2c-5fbb49beaeb7,55e8f4e8-e601-49af-b782-e08b8dfba689,gemini-v25-pro-5a7bd,no_project_context,gemini,1,3,runtime,"180.1020930702798,178.7122661024332,178.57825869182125",3
074babc9-86c9-48c5-ac96-4d350a36c9ad,rpcs3,6f2e602b-0ca8-453d-9975-85fb294621bd,3eec1de1-2f69-429e-9b95-b362dd41fff6,SolutionStatusEnum.success,Unknown,fce5a4c1-0d05-49f2-a2d7-5dde3289eb29,b2d57e4a-15d9-49bd-ad8e-b6e15bad307a,gemini-v25-pro-a88d6,no_project_context,gemini,1,3,runtime,"231.18369895778596,231.07562459586188,231.91518941195682",3
074babc9-86c9-48c5-ac96-4d350a36c9ad,rpcs3,3e1cef83-6326-4a7f-a93a-b79d9071bd74,3eec1de1-2f69-429e-9b95-b362dd41fff6,SolutionStatusEnum.success,Unknown,808573e6-b738-4f07-b9f9-186d59482758,685b073c-466f-412e-ac98-3c5ed6669d91,gemini-v25-pro-620b8,chain_of_thought,gemini,1,3,runtime,"231.45971721271053,231.3879802650772,232.16617085179314",3
074babc9-86c9-48c5-ac96-4d350a36c9ad,rpcs3,3d3988d7-6b58-4855-b00f-6c3cd2c19237,3eec1de1-2f69-429e-9b95-b362dd41fff6,SolutionStatusEnum.success,Unknown,07df01c6-5f0e-45d4-bfae-b57f9647b356,96211d9c-25ec-4db3-83a6-c17049404b6c,gemini-v25-pro-8a9e3,no_llm_context,gemini,1,3,runtime,"233.44897665595636,232.92633147723973,232.22532641980797",3
074babc9-86c9-48c5-ac96-4d350a36c9ad,rpcs3,7df4d2e3-afa7-4440-8919-13c446a2371e,3eec1de1-2f69-429e-9b95-b362dd41fff6,SolutionStatusEnum.success,Unknown,1d7d4a95-af4e-4da1-94ad-72ed14771a6f,060adb01-88b7-4694-8e4c-e410d6c144d8,claude-v4-sonnet-4a660,no_project_context,claude,1,3,runtime,"231.97038051625714,232.86258958699182,232.2060986161232",3
074babc9-86c9-48c5-ac96-4d350a36c9ad,rpcs3,70607df3-4003-48e4-8d17-9c1bbb182afc,3eec1de1-2f69-429e-9b95-b362dd41fff6,SolutionStatusEnum.success,Unknown,808573e6-b738-4f07-b9f9-186d59482758,03dd6201-a216-4f07-858e-a01ec119192a,gemini-v25-pro-d57cf,no_project_context,gemini,1,3,runtime,"231.0596270156093,231.59035410312936,230.77014645002782",3
074babc9-86c9-48c5-ac96-4d350a36c9ad,rpcs3,44564d5e-1b18-4c9d-b4ac-787d7ddf385e,3eec1de1-2f69-429e-9b95-b362dd41fff6,SolutionStatusEnum.success,Unknown,1deab40c-8adf-4830-9e2c-5fbb49beaeb7,11ad7c88-2dce-4aea-9a16-e206c2755d19,gemini-v25-pro-cd2e0,few_shot,gemini,1,3,runtime,"175.23516197595745,175.95196580793709,175.0444170362316",3
074babc9-86c9-48c5-ac96-4d350a36c9ad,rpcs3,b0f8efba-cb57-4148-ad9a-3bb1d2f9c2bf,3eec1de1-2f69-429e-9b95-b362dd41fff6,SolutionStatusEnum.success,Unknown,1deab40c-8adf-4830-9e2c-5fbb49beaeb7,ba15b7ad-07ea-4e97-ab39-9e211914f53e,gemini-v25-pro-620ed,no_task_context,gemini,1,3,runtime,"177.85654531605542,177.48695968603715,177.98056791024283",3
